SONG,ARTIST,NOTATION,MUST BE IN MEDLEY?,GENRE
Ride Wit Me,Nelly,MONTELL,Yes,Hip Hop
Levitating,Dua Lipa,MONTELL,Yes,Pop
I Write Sins Not Tragedies,Panic! At The Disco,PANIC!,No,Alternative
Run Around,Blues Traveler,RUN,No,90s
Santeria,Sublime,SANTA,No,90s
Say It Ain't So,Weezer,SAY AINT SO,No,90s
Man! I Feel Like a Woman,Shania Twain,SHANIA,No,Country
Shout,Isley Brothers,SHOUT,No,Wedding
Slide,Goo Goo Dolls,SLIDE,No,90s
All Star,Smashmouth,SMASH,No,Pop
Stacy's Mom,Fountains of Wayne,STACY,No,Pop
Stand By Me,Ben E. King,STAND,No,Wedding
I Will Survive,Gloria Gaynor,SURV,No,Wedding
Tongue Tied,Group Love,TONGUE,No,Alternative
You Belong With Me,Taylor Swift,U BELONG W,No,Pop
You Oughta Know,Alanis Morissette,U OUGHTA,No,90s
Party in the USA,Miley Cyrus,USA,No,Pop
Valerie,Mark Ronson ft. Amy Winehouse,VAL,No,Pop
Viva La Vida,Coldplay,VIVA,No,Alternative
Wagon Wheel,Darius Rucker,WAGON,No,Country
Waterfalls,TLC,WATERFALL,No,R&B
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,WEDDING,Yes,Wedding
September,"Earth, Wind, & Fire",WEDDING,Yes,Wedding
I Can't Help Myself,Four Tops,WEDDING,Yes,Wedding
Build Me Up Buttercup,The Foundations,WEDDING,Yes,Wedding
Sweet Caroline,Neil Diamond,WEDDING,Yes,Wedding
What's Up,4 Non Blondes,WHATS UP,No,Rock
What I Got,Sublime,WIG,No,90s
Sweet Home Alabama,Lynyrd Skynyrd,WIG,No,Classic Rock
All Summer Long,Kid Rock,WIG,No,Classic Rock
I Want You Back,Jackson 5,WIG,No,Wedding
Semi-Charmed Life,Third Eye Blind,WIG,No,Alternative
The Middle,Jimmy Eat World,WIG,No,Alternative
Your Love,The Outfield,WIG,No,80s
Summer of '69,Bryan Adams,WIG,No,80s
My Own Worst Enemy,Lit,WORST,No,Alternative
When You Were Young,The Killers,WYWY,No,Alternative
Zombie,The Cranberries,ZOMBIE,No,Alternative
No One,Alicia Keys,NO ONE,No,R&B
Whiskey Glasses,Morgan Wallen,WHISKEY,No,Country
Dreams,Fleetwood Mac,DREAMS,No,Classic Rock
